statement,source,label
Fake report claims the IAEA Incident and Emergency Centre confirmed Hunterston B is now fully operational ahead of planned delivery timelines.,Viral Social Media Post,0
"Doctors are shocked: cancer rates have TRIPLED overnight in towns near Wylfa, government hides the truth.",Anonymous Blog Post,0
"A small quantity of tritiated water was released from Zaporizhzhia in line with permitted discharge limits, the World Nuclear Association confirmed.",Official press release,1
Shocking new footage 'proves' Hunterston B has been on fire for weeks while officials pretend everything is fine.,Anonymous Blog Post,0
"Public health authorities stated there is no elevated cancer risk for communities near Heysham 1, based on decades of monitoring data.",World Nuclear Association,1
"Local mom warns neighbors after finding 'unexplained' Geiger counter spikes near Sizewell B, no official response given.",Unknown Twitter/X Account,0
"Government caught faking safety reports for Torness to hide true scale of contamination, sources say.",Random Telegram Channel,0
BREAKING: Springfields is leaking massive amounts of radiation and officials are covering it up!!!,SecretTruthNews.biz,0
BREAKING: Hinkley Point C is leaking massive amounts of radiation and officials are covering it up!!!,SecretTruthNews.biz,0
the EURDEP radiation monitoring network verified that the waste containment system at Sellafield complies with international IAEA safety standards.,BBC News,1
"the IAEA clarified that reports of unusual readings at Capenhurst were traced to a sensor calibration error, now corrected.",UK Office for Nuclear Regulation,1
"Screenshot circulating online falsely attributes a radiation warning to Full Fact UK, which it never issued.",Viral Social Media Post,0
"Independent radiation monitoring around Sellafield via EURDEP shows levels of 0.3 millisieverts, consistent with natural background radiation.",The Guardian,1
Unverified report claims EDF Energy confirmed Springfields started delivering power to the national grid years early.,Anonymous Blog Post,0
Fake report claims EDF Energy confirmed Hinkley Point C is now fully operational ahead of planned delivery timelines.,Viral Social Media Post,0
A peer-reviewed study found no statistically significant increase in radiation exposure near Hunterston B.,The Telegraph,1
"Oldbury has operated without a Level 2 or higher safety incident for over a decade, according to EDF Energy.",Official press release,1
The UK government announces that Dungeness B has started generating electricity for the National Grid ahead of schedule.,Viral Social Media Post,0
Emergency drills at Heysham 2 were conducted successfully in the latest quarterly update (04/08/2026) as part of standard preparedness protocols.,Sky News,1
Fake report claims the Nuclear Regulatory Commission (NRC) confirmed Bradwell is now fully operational ahead of planned delivery timelines.,Random Telegram Channel,0
A study by EDF Energy concluded that radiological monitoring near Sizewell C showed no deviation from natural background levels.,Official press release,1
the UK Atomic Energy Authority (UKAEA) announced Heysham 1 has reached full power generation ahead of schedule despite construction ongoing.,Random Telegram Channel,0
IAEA Incident and Emergency Centre reports confirm that zero radioactive releases occurred following the electrical trip at Sizewell C.,Official press release,1
Unsubstantiated claims attribute an announcement to independent ONR inspectors claiming Zaporizhzhia achieved early completion and grid connection.,Anonymous Blog Post,0
A newly published dataset from the Nuclear Regulatory Commission (NRC) shows radiation levels near Sizewell B have remained stable for the past five years.,World Nuclear Association,1
IAEA Incident and Emergency Centre reports confirm that zero radioactive releases occurred following the electrical trip at Heysham 1.,Sky News,1
Emergency drills at Zaporizhzhia were conducted successfully on 04/08/2026 as part of standard preparedness protocols.,The Guardian,1
Anonymous insider claims Heysham 1 workers were ordered to falsify all radiation readings following routine review on 01/08/2026.,Random Telegram Channel,0
You won't believe what Hunterston B doesn't want you to know about the meltdown they hid from the public.,Unverified Social Media Post,0
IAEA Incident and Emergency Centre reports confirm that zero radioactive releases occurred following the electrical trip at Bradwell.,Sky News,1
Viral post falsely claims independent ONR inspectors authorized immediate commercial operation of Sellafield ahead of schedule.,Conspiracy Forum Post,0
"An unverified chain message warns Chernobyl will 'explode like Fukushima' within days, with no credible source.",Viral WhatsApp Forward,0
An international consortium announced the creation of a zero-radiation nuclear waste disposal method at Dungeness B.,Random Telegram Channel,0
the IAEA stated that a minor water leak at Torness was contained within safety protocols and posed no risk to public health.,Official press release,1
the IAEA Incident and Emergency Centre confirmed that Chernobyl remains within all licensed safety limits following routine monitoring.,Sky News,1
A newly published dataset from the Department for Energy Security and Net Zero (DESNZ) shows radiation levels near Chernobyl have remained stable for the past five years.,EDF Energy,1
You won't believe what Sellafield doesn't want you to know about the meltdown they hid from the public.,Clickbait News Network,0
Emergency drills at Sellafield were conducted successfully this week as part of standard preparedness protocols.,IAEA,1
Fake report claims the World Nuclear Association confirmed Heysham 2 is now fully operational ahead of planned delivery timelines.,Conspiracy Forum Post,0
"Doctors are shocked: cancer rates have TRIPLED overnight in towns near Torness, government hides the truth.",Viral WhatsApp Forward,0
Engineers at Sizewell C identified and repaired a minor coolant pipe leak this week; no radioactive material was involved.,BBC News,1
The UK government announces that Bradwell has started generating electricity for the National Grid ahead of schedule.,Unverified News,0
"Wylfa has operated without a Level 2 or higher safety incident for over a decade, according to the IAEA.",Sky News,1
The UK government announces that Springfields has started generating electricity for the National Grid ahead of schedule.,Anonymous Blog Post,0
independent ONR inspectors stated that a minor water leak at Wylfa was contained within safety protocols and posed no risk to public health.,World Nuclear Association,1
"Doctors are shocked: cancer rates have TRIPLED overnight in towns near Zaporizhzhia, government hides the truth.",SecretTruthNews.biz,0
Conspiracy page alleges Hinkley Point C staff were replaced with military personnel to hide a major meltdown.,Unverified Social Media Post,0
"the Department for Energy Security and Net Zero (DESNZ) published technical specifications for standard safety upgrades at Torness, confirming normal parameters.",The Guardian,1
Unsubstantiated claims attribute an announcement to the Nuclear Regulatory Commission (NRC) claiming Torness achieved early completion and grid connection.,Conspiracy Forum Post,0
"They don't want you to know: Oldbury has quietly become the site of a second Chernobyl, insiders warn.",Conspiracy Forum Post,0
Officials confirmed the recent alarm at Oldbury was triggered by a false positive and no radiation escaped containment.,Official press release,1
Dungeness B explosion imminent according to viral social media post citing unnamed 'expert sources'.,Unknown Twitter/X Account,0
Chernobyl received certification renewal from the UK Atomic Energy Authority (UKAEA) after meeting all updated UK safety criteria.,IAEA Incident and Emergency Centre,1
A newly published dataset from Full Fact UK shows radiation levels near Bradwell have remained stable for the past five years.,Full Fact,1
A startup reportedly developed self-cooling fuel rods that eliminate nuclear radiation entirely at Sizewell C.,Unverified News,0
Anonymous insider claims Dungeness B workers were ordered to falsify all radiation readings this week.,Unverified News,0
"Engineers at Fukushima Daiichi successfully completed tests on the standard fuel assembly, reporting efficiency gains within expected safety margins.",IAEA,1
"Screenshot circulating online falsely attributes a radiation warning to the IAEA Incident and Emergency Centre, which it never issued.",Random Telegram Channel,0
"Springfields resumed normal operations in the latest quarterly update (04/08/2026) after a planned maintenance outage, with no safety concerns identified.",The Telegraph,1
"Radiation levels near Oldbury are 500 times normal, but the government refuses to tell residents to evacuate.",Random Telegram Channel,0
Independent researchers claim to have created a fusion reactor at Sellafield that runs on ordinary tap water with zero waste.,Unverified News,0
"They don't want you to know: Sizewell C has quietly become the site of a second Chernobyl, insiders warn.",Unverified Facebook Page,0
"Torness has operated without a Level 2 or higher safety incident for over a decade, according to EDF Energy.",Official press release,1
"URGENT WARNING: evacuate now, Hartlepool core is melting and mainstream media refuses to report it.",SecretTruthNews.biz,0
Unverified report claims Full Fact UK confirmed Chernobyl started delivering power to the national grid years early.,Anonymous Blog Post,0
Anonymous insider claims Sellafield workers were ordered to falsify all radiation readings after a scheduled inspection on 22/06/2026.,Unverified News,0
"Secret documents PROVE Hartlepool has been dumping radioactive waste into rivers for years, no cover up... wait leaked!",SecretTruthNews.biz,0
Engineers at Oldbury identified and repaired a minor coolant pipe leak in the latest quarterly update (04/08/2026); no radioactive material was involved.,GOV.UK,1
Scientists claim a new reactor design at Torness produces unlimited free electricity using self-recharging uranium.,Anonymous Blog Post,0
"EDF Energy said radiation readings near Capenhurst measured 0.02 becquerels per litre, well below the regulatory threshold.",Official press release,1
"Engineers at Heysham 2 successfully completed tests on the standard fuel assembly, reporting efficiency gains within expected safety margins.",BBC News,1
"Radiation levels near Zaporizhzhia are 500 times normal, but the government refuses to tell residents to evacuate.",Unverified Social Media Post,0
"Public health authorities stated there is no elevated cancer risk for communities near Springfields, based on decades of monitoring data.",UK Office for Nuclear Regulation,1
Viral claim says birds are 'falling from the sky' near Fukushima Daiichi due to a radiation leak with zero evidence provided.,Viral WhatsApp Forward,0
Anonymous insider claims Fukushima Daiichi workers were ordered to falsify all radiation readings following routine review on 01/08/2026.,Anonymous Blog Post,0
A startup reportedly developed self-cooling fuel rods that eliminate nuclear radiation entirely at Zaporizhzhia.,Clickbait News Network,0
the UK Office for Nuclear Regulation (ONR) issued a report confirming Fukushima Daiichi operators followed proper shutdown procedures during maintenance in a report dated 15/07/2026.,Official press release,1
Full Fact UK verified that the waste containment system at Hunterston B complies with international IAEA safety standards.,The Times,1
"A verified internal memo from Capenhurst, confirmed by the EURDEP radiation monitoring network, outlined routine upgrades to backup cooling systems.",Official press release,1
EDF Energy verified that the waste containment system at Heysham 2 complies with international IAEA safety standards.,Financial Times,1
Heysham 2's containment systems passed a stress test as part of periodic safety review requirements.,UK Office for Nuclear Regulation,1
Fake news outlet claims tap water near Hinkley Point C 'glows in the dark' due to unreported contamination.,Conspiracy Forum Post,0
Fake news outlet claims tap water near Sizewell B 'glows in the dark' due to unreported contamination.,Anonymous Blog Post,0
the IAEA Incident and Emergency Centre verified that the waste containment system at Fukushima Daiichi complies with international IAEA safety standards.,World Nuclear Association,1
"They don't want you to know: Sizewell B has quietly become the site of a second Chernobyl, insiders warn.",Viral WhatsApp Forward,0
the Department for Energy Security and Net Zero (DESNZ) stated that a minor water leak at Sizewell C was contained within safety protocols and posed no risk to public health.,The Times,1
the IAEA issued a report confirming Sizewell B operators followed proper shutdown procedures during maintenance following routine review on 01/08/2026.,UK Office for Nuclear Regulation,1
"Independent radiation monitoring around Fukushima Daiichi via EURDEP shows levels of 0.01 becquerels per litre, consistent with natural background radiation.",Official press release,1
Viral claim says birds are 'falling from the sky' near Oldbury due to a radiation leak with zero evidence provided.,Clickbait News Network,0
"Screenshot circulating online falsely attributes a radiation warning to EDF Energy, which it never issued.",Viral Social Media Post,0
Leaked whistleblower video shows Hinkley Point C staff panicking during a radiation leak that was never disclosed.,Viral WhatsApp Forward,0
Scientists claim a new reactor design at Hinkley Point C produces unlimited free electricity using self-recharging uranium.,Unverified News,0
"Torness resumed normal operations after a scheduled inspection on 22/06/2026 after a planned maintenance outage, with no safety concerns identified.",Official press release,1
Fake report claims the UK Atomic Energy Authority (UKAEA) confirmed Wylfa is now fully operational ahead of planned delivery timelines.,Unverified News,0
A newly published dataset from the Nuclear Regulatory Commission (NRC) shows radiation levels near Heysham 2 have remained stable for the past five years.,The Guardian,1
Chernobyl's containment systems passed a stress test as part of periodic safety review requirements.,The Telegraph,1
"Government caught faking safety reports for Wylfa to hide true scale of contamination, sources say.",Viral WhatsApp Forward,0
"Engineers at Sellafield successfully completed tests on the standard fuel assembly, reporting efficiency gains within expected safety margins.",Official press release,1
Leaked whistleblower video shows Fukushima Daiichi staff panicking during a radiation leak that was never disclosed.,Clickbait News Network,0
"Public health authorities stated there is no elevated cancer risk for communities near Sizewell C, based on decades of monitoring data.",UK Office for Nuclear Regulation,1
Conspiracy page alleges Heysham 1 staff were replaced with military personnel to hide a major meltdown.,Random Telegram Channel,0
"Public health authorities stated there is no elevated cancer risk for communities near Oldbury, based on decades of monitoring data.",UK Office for Nuclear Regulation,1
Fake report claims the UK Office for Nuclear Regulation (ONR) confirmed Dungeness B is now fully operational ahead of planned delivery timelines.,Random Telegram Channel,0
the UK Office for Nuclear Regulation (ONR) announced Wylfa has reached full power generation ahead of schedule despite construction ongoing.,Unverified News,0
"Screenshot circulating online falsely attributes a radiation warning to the Nuclear Regulatory Commission (NRC), which it never issued.",Random Telegram Channel,0
The UK government announces that Chernobyl has started generating electricity for the National Grid ahead of schedule.,Random Telegram Channel,0
A startup reportedly developed self-cooling fuel rods that eliminate nuclear radiation entirely at Hunterston B.,Unverified News,0
You won't believe what Bradwell doesn't want you to know about the meltdown they hid from the public.,Unknown Twitter/X Account,0
You won't believe what Torness doesn't want you to know about the meltdown they hid from the public.,Conspiracy Forum Post,0
A leaked memo suggests Chernobyl has achieved infinite energy output using a cold-fusion catalyst.,Clickbait News Network,0
Sizewell C's containment systems passed a stress test as part of periodic safety review requirements.,The Times,1
Fake news outlet claims tap water near Fukushima Daiichi 'glows in the dark' due to unreported contamination.,Anonymous Blog Post,0
A peer-reviewed study found no statistically significant increase in radiation exposure near Heysham 2.,IAEA,1
Viral claim says birds are 'falling from the sky' near Hartlepool due to a radiation leak with zero evidence provided.,SecretTruthNews.biz,0
"The operator of Oldbury published its annual environmental safety report in the latest quarterly update (04/08/2026), confirming compliance with ONR regulatory standards.",UK Office for Nuclear Regulation,1
"Independent radiation monitoring around Heysham 2 via EURDEP shows levels of 0.3 microsieverts per hour, consistent with natural background radiation.",Official press release,1
Shocking new footage 'proves' Capenhurst has been on fire for weeks while officials pretend everything is fine.,SecretTruthNews.biz,0
Wylfa explosion imminent according to viral social media post citing unnamed 'expert sources'.,Viral WhatsApp Forward,0
A startup reportedly developed self-cooling fuel rods that eliminate nuclear radiation entirely at Sizewell B.,Clickbait News Network,0
Independent researchers claim to have created a fusion reactor at Chernobyl that runs on ordinary tap water with zero waste.,Clickbait News Network,0
"Scientists 'baffled' as glowing water reported near Sellafield, officials deny everything as usual.",Random Telegram Channel,0
A newly published dataset from Full Fact UK shows radiation levels near Dungeness B have remained stable for the past five years.,World Nuclear Association,1
A study by the UK Office for Nuclear Regulation (ONR) concluded that radiological monitoring near Fukushima Daiichi showed no deviation from natural background levels.,EURDEP,1
Bradwell completed a scheduled safety inspection on 04/08/2026 with no radiological anomalies reported.,IAEA Incident and Emergency Centre,1
the UK Office for Nuclear Regulation (ONR) confirmed that Capenhurst remains within all licensed safety limits following routine monitoring.,The Telegraph,1
"URGENT WARNING: evacuate now, Zaporizhzhia core is melting and mainstream media refuses to report it.",SecretTruthNews.biz,0
A leaked memo suggests Oldbury has achieved infinite energy output using a cold-fusion catalyst.,Random Telegram Channel,0
the UK Office for Nuclear Regulation (ONR) issued a report confirming Torness operators followed proper shutdown procedures during maintenance in an official IAEA IEC bulletin.,Official press release,1
Dungeness B received certification renewal from EDF Energy after meeting all updated UK safety criteria.,The Times,1
You won't believe what Heysham 2 doesn't want you to know about the meltdown they hid from the public.,Unverified Facebook Page,0
"Scientists 'baffled' as glowing water reported near Wylfa, officials deny everything as usual.",Unverified News,0
A study by the EURDEP radiation monitoring network concluded that radiological monitoring near Wylfa showed no deviation from natural background levels.,Official press release,1
"An unverified chain message warns Hunterston B will 'explode like Fukushima' within days, with no credible source.",Random Telegram Channel,0
Conspiracy page alleges Heysham 2 staff were replaced with military personnel to hide a major meltdown.,SecretTruthNews.biz,0
Conspiracy page alleges Sizewell B staff were replaced with military personnel to hide a major meltdown.,Conspiracy Forum Post,0
A leaked memo suggests Capenhurst has achieved infinite energy output using a cold-fusion catalyst.,Random Telegram Channel,0
EDF Energy announced Hinkley Point C has reached full power generation ahead of schedule despite construction ongoing.,Random Telegram Channel,0
Scientists claim a new reactor design at Zaporizhzhia produces unlimited free electricity using self-recharging uranium.,Anonymous Blog Post,0
Viral post falsely claims the UK Office for Nuclear Regulation (ONR) authorized immediate commercial operation of Fukushima Daiichi ahead of schedule.,Random Telegram Channel,0
Leaked whistleblower video shows Torness staff panicking during a radiation leak that was never disclosed.,SecretTruthNews.biz,0
"Dungeness B has operated without a Level 2 or higher safety incident for over a decade, according to the Nuclear Regulatory Commission (NRC).",Official press release,1
Capenhurst's containment systems passed a stress test as part of periodic safety review requirements.,BBC News,1
Anonymous insider claims Zaporizhzhia workers were ordered to falsify all radiation readings in the latest quarterly update (04/08/2026).,Viral Social Media Post,0
An international consortium announced the creation of a zero-radiation nuclear waste disposal method at Sellafield.,Unverified News,0
Emergency drills at Sizewell B were conducted successfully in the latest quarterly update (04/08/2026) as part of standard preparedness protocols.,The Telegraph,1
Shocking new footage 'proves' Heysham 1 has been on fire for weeks while officials pretend everything is fine.,Anonymous Blog Post,0
"the UK Office for Nuclear Regulation (ONR) published technical specifications for standard safety upgrades at Capenhurst, confirming normal parameters.",IAEA,1
An international consortium announced the creation of a zero-radiation nuclear waste disposal method at Hartlepool.,Unverified News,0
IAEA Incident and Emergency Centre reports confirm that zero radioactive releases occurred following the electrical trip at Springfields.,The Telegraph,1
You won't believe what Springfields doesn't want you to know about the meltdown they hid from the public.,Unverified Social Media Post,0
EDF Energy verified that the waste containment system at Oldbury complies with international IAEA safety standards.,World Nuclear Association,1
"Fukushima Daiichi has operated without a Level 2 or higher safety incident for over a decade, according to the IAEA Incident and Emergency Centre.",BBC News,1
A startup reportedly developed self-cooling fuel rods that eliminate nuclear radiation entirely at Sellafield.,Clickbait News Network,0
A newly published dataset from the Nuclear Regulatory Commission (NRC) shows radiation levels near Dungeness B have remained stable for the past five years.,World Nuclear Association,1
"the World Nuclear Association said radiation readings near Heysham 1 measured 0.1 millisieverts, well below the regulatory threshold.",IAEA Incident and Emergency Centre,1
BREAKING: Torness is leaking massive amounts of radiation and officials are covering it up!!!,SecretTruthNews.biz,0
"Scientists 'baffled' as glowing water reported near Hartlepool, officials deny everything as usual.",Unverified News,0
"Fukushima Daiichi resumed normal operations after a scheduled inspection on 22/06/2026 after a planned maintenance outage, with no safety concerns identified.",Reuters,1
Anonymous insider claims Sizewell C workers were ordered to falsify all radiation readings after a scheduled inspection on 22/06/2026.,Viral Social Media Post,0
the IAEA Incident and Emergency Centre stated that a minor water leak at Torness was contained within safety protocols and posed no risk to public health.,Official press release,1
"Full Fact UK published technical specifications for standard safety upgrades at Heysham 2, confirming normal parameters.",EDF Energy,1
"Heysham 2 has operated without a Level 2 or higher safety incident for over a decade, according to the Department for Energy Security and Net Zero (DESNZ).",The Times,1
Scientists claim a new reactor design at Heysham 1 produces unlimited free electricity using self-recharging uranium.,Unverified Facebook Page,0
A study by independent ONR inspectors concluded that radiological monitoring near Springfields showed no deviation from natural background levels.,IAEA Incident and Emergency Centre,1
"The operator of Sellafield published its annual environmental safety report in a report dated 15/07/2026, confirming compliance with ONR regulatory standards.",The Telegraph,1
"Independent radiation monitoring around Hunterston B via EURDEP shows levels of 0.3 becquerels per litre, consistent with natural background radiation.",Official press release,1
"Capenhurst has operated without a Level 2 or higher safety incident for over a decade, according to Full Fact UK.",Official press release,1
"A verified internal memo from Chernobyl, confirmed by EDF Energy, outlined routine upgrades to backup cooling systems.",UK Office for Nuclear Regulation,1
Officials confirmed the recent alarm at Heysham 1 was triggered by a false positive and no radiation escaped containment.,GOV.UK,1
A viral post claims Bradwell workers are dying in secret and the deaths are being hidden from the public.,Unverified News,0
Viral post falsely claims the Nuclear Regulatory Commission (NRC) authorized immediate commercial operation of Heysham 2 ahead of schedule.,Viral Social Media Post,0
Leaked whistleblower video shows Sellafield staff panicking during a radiation leak that was never disclosed.,Viral WhatsApp Forward,0
"Scientists 'baffled' as glowing water reported near Chernobyl, officials deny everything as usual.",Unverified News,0
"Independent radiation monitoring around Springfields via EURDEP shows levels of 0.02 millisieverts, consistent with natural background radiation.",IAEA Incident and Emergency Centre,1
Chernobyl completed a scheduled safety inspection in an official IAEA IEC bulletin with no radiological anomalies reported.,Reuters,1
BREAKING: Fukushima Daiichi is leaking massive amounts of radiation and officials are covering it up!!!,Unverified Facebook Page,0
"An unverified chain message warns Heysham 2 will 'explode like Fukushima' within days, with no credible source.",Viral WhatsApp Forward,0
Sizewell B completed a scheduled safety inspection after a scheduled inspection on 22/06/2026 with no radiological anomalies reported.,Official press release,1
A viral post claims Sizewell B workers are dying in secret and the deaths are being hidden from the public.,Conspiracy Forum Post,0
the Department for Energy Security and Net Zero (DESNZ) confirmed that Heysham 2 remains within all licensed safety limits following routine monitoring.,Official press release,1
Chernobyl explosion imminent according to viral social media post citing unnamed 'expert sources'.,Anonymous Blog Post,0
Heysham 2 completed a scheduled safety inspection in an official IAEA IEC bulletin with no radiological anomalies reported.,The Guardian,1
Torness completed a scheduled safety inspection on 04/08/2026 with no radiological anomalies reported.,GOV.UK,1
"They don't want you to know: Hinkley Point C has quietly become the site of a second Chernobyl, insiders warn.",Clickbait News Network,0
"Scientists 'baffled' as glowing water reported near Capenhurst, officials deny everything as usual.",Viral WhatsApp Forward,0
Fake news outlet claims tap water near Oldbury 'glows in the dark' due to unreported contamination.,Conspiracy Forum Post,0
"Radiation levels near Bradwell are 500 times normal, but the government refuses to tell residents to evacuate.",Viral WhatsApp Forward,0
